Time	Node	Type	Packets	
8	F1a	CacheHits	0
8	F1a	CacheMisses	0
8	F1b	CacheHits	0
8	F1b	CacheMisses	0
8	F1c	CacheHits	0
8	F1c	CacheMisses	0
8	F2a	CacheHits	0
8	F2a	CacheMisses	0
8	F2b	CacheHits	0
8	F2b	CacheMisses	0
8	F2c	CacheHits	0
8	F2c	CacheMisses	0
8	F3a	CacheHits	0
8	F3a	CacheMisses	0
8	F3b	CacheHits	0
8	F3b	CacheMisses	0
8	F3c	CacheHits	0
8	F3c	CacheMisses	0
8	F4a	CacheHits	0
8	F4a	CacheMisses	0
8	F4b	CacheHits	0
8	F4b	CacheMisses	0
8	F4c	CacheHits	0
8	F4c	CacheMisses	0
8	F5a	CacheHits	0
8	F5a	CacheMisses	0
8	F5b	CacheHits	0
8	F5b	CacheMisses	0
8	F5c	CacheHits	0
8	F5c	CacheMisses	0
8	Consumer2	CacheHits	0
8	Consumer2	CacheMisses	0
8	Consumer3	CacheHits	0
8	Consumer3	CacheMisses	0
8	Consumer4	CacheHits	0
8	Consumer4	CacheMisses	0
8	Producer2	CacheHits	0
8	Producer2	CacheMisses	0
8	Producer3	CacheHits	0
8	Producer3	CacheMisses	0
8	Producer4	CacheHits	0
8	Producer4	CacheMisses	0
9	Consumer1	CacheHits	0
9	Consumer1	CacheMisses	0
9	Node1	CacheHits	0
9	Node1	CacheMisses	0
9	Node2	CacheHits	0
9	Node2	CacheMisses	0
9	Node3	CacheHits	0
9	Node3	CacheMisses	0
9	Node4	CacheHits	0
9	Node4	CacheMisses	0
9	Node5	CacheHits	0
9	Node5	CacheMisses	0
9	Node6	CacheHits	0
9	Node6	CacheMisses	0
9	Node7	CacheHits	0
9	Node7	CacheMisses	0
9	Node8	CacheHits	0
9	Node8	CacheMisses	0
9	Node9	CacheHits	0
9	Node9	CacheMisses	0
9	Node10	CacheHits	0
9	Node10	CacheMisses	0
9	Node11	CacheHits	0
9	Node11	CacheMisses	0
9	Node12	CacheHits	0
9	Node12	CacheMisses	0
9	Node13	CacheHits	0
9	Node13	CacheMisses	0
9	Node14	CacheHits	0
9	Node14	CacheMisses	0
9	Node15	CacheHits	0
9	Node15	CacheMisses	0
9	Node16	CacheHits	0
9	Node16	CacheMisses	0
9	Node17	CacheHits	0
9	Node17	CacheMisses	0
9	Node18	CacheHits	0
9	Node18	CacheMisses	0
9	Node19	CacheHits	0
9	Node19	CacheMisses	0
9	Node20	CacheHits	0
9	Node20	CacheMisses	0
9	Node21	CacheHits	0
9	Node21	CacheMisses	0
9	Node22	CacheHits	0
9	Node22	CacheMisses	0
9	Node23	CacheHits	0
9	Node23	CacheMisses	0
9	Node24	CacheHits	0
9	Node24	CacheMisses	0
9	Producer1	CacheHits	0
9	Producer1	CacheMisses	0
9	F1a	CacheHits	0
9	F1a	CacheMisses	0
9	F1b	CacheHits	0
9	F1b	CacheMisses	0
9	F1c	CacheHits	0
9	F1c	CacheMisses	0
9	F2a	CacheHits	0
9	F2a	CacheMisses	0
9	F2b	CacheHits	0
9	F2b	CacheMisses	0
9	F2c	CacheHits	0
9	F2c	CacheMisses	0
9	F3a	CacheHits	0
9	F3a	CacheMisses	0
9	F3b	CacheHits	0
9	F3b	CacheMisses	0
9	F3c	CacheHits	0
9	F3c	CacheMisses	0
9	F4a	CacheHits	0
9	F4a	CacheMisses	0
9	F4b	CacheHits	0
9	F4b	CacheMisses	0
9	F4c	CacheHits	0
9	F4c	CacheMisses	0
9	F5a	CacheHits	0
9	F5a	CacheMisses	0
9	F5b	CacheHits	0
9	F5b	CacheMisses	0
9	F5c	CacheHits	0
9	F5c	CacheMisses	0
9	Consumer2	CacheHits	0
9	Consumer2	CacheMisses	0
9	Consumer3	CacheHits	0
9	Consumer3	CacheMisses	0
9	Consumer4	CacheHits	0
9	Consumer4	CacheMisses	0
9	Producer2	CacheHits	0
9	Producer2	CacheMisses	0
9	Producer3	CacheHits	0
9	Producer3	CacheMisses	0
9	Producer4	CacheHits	0
9	Producer4	CacheMisses	0
10	Consumer1	CacheHits	0
10	Consumer1	CacheMisses	0
10	Node1	CacheHits	0
10	Node1	CacheMisses	0
10	Node2	CacheHits	0
10	Node2	CacheMisses	0
10	Node3	CacheHits	0
10	Node3	CacheMisses	0
10	Node4	CacheHits	0
10	Node4	CacheMisses	0
10	Node5	CacheHits	0
10	Node5	CacheMisses	0
10	Node6	CacheHits	0
10	Node6	CacheMisses	0
10	Node7	CacheHits	0
10	Node7	CacheMisses	0
10	Node8	CacheHits	0
10	Node8	CacheMisses	0
10	Node9	CacheHits	0
10	Node9	CacheMisses	0
10	Node10	CacheHits	0
10	Node10	CacheMisses	0
10	Node11	CacheHits	0
10	Node11	CacheMisses	0
10	Node12	CacheHits	0
10	Node12	CacheMisses	0
10	Node13	CacheHits	0
10	Node13	CacheMisses	0
10	Node14	CacheHits	0
10	Node14	CacheMisses	0
10	Node15	CacheHits	0
10	Node15	CacheMisses	0
10	Node16	CacheHits	0
10	Node16	CacheMisses	0
10	Node17	CacheHits	0
10	Node17	CacheMisses	0
10	Node18	CacheHits	0
10	Node18	CacheMisses	0
10	Node19	CacheHits	0
10	Node19	CacheMisses	0
10	Node20	CacheHits	0
10	Node20	CacheMisses	0
10	Node21	CacheHits	0
10	Node21	CacheMisses	0
10	Node22	CacheHits	0
10	Node22	CacheMisses	0
10	Node23	CacheHits	0
10	Node23	CacheMisses	0
10	Node24	CacheHits	0
10	Node24	CacheMisses	0
10	Producer1	CacheHits	0
10	Producer1	CacheMisses	0
10	F1a	CacheHits	0
10	F1a	CacheMisses	0
10	F1b	CacheHits	0
10	F1b	CacheMisses	0
10	F1c	CacheHits	0
10	F1c	CacheMisses	0
10	F2a	CacheHits	0
10	F2a	CacheMisses	0
10	F2b	CacheHits	0
10	F2b	CacheMisses	0
10	F2c	CacheHits	0
10	F2c	CacheMisses	0
10	F3a	CacheHits	0
10	F3a	CacheMisses	0
10	F3b	CacheHits	0
10	F3b	CacheMisses	0
10	F3c	CacheHits	0
10	F3c	CacheMisses	0
10	F4a	CacheHits	0
10	F4a	CacheMisses	0
10	F4b	CacheHits	0
10	F4b	CacheMisses	0
10	F4c	CacheHits	0
10	F4c	CacheMisses	0
10	F5a	CacheHits	0
10	F5a	CacheMisses	0
10	F5b	CacheHits	0
10	F5b	CacheMisses	0
10	F5c	CacheHits	0
10	F5c	CacheMisses	0
10	Consumer2	CacheHits	0
10	Consumer2	CacheMisses	0
10	Consumer3	CacheHits	0
10	Consumer3	CacheMisses	0
10	Consumer4	CacheHits	0
10	Consumer4	CacheMisses	0
10	Producer2	CacheHits	0
10	Producer2	CacheMisses	0
10	Producer3	CacheHits	0
10	Producer3	CacheMisses	0
10	Producer4	CacheHits	0
10	Producer4	CacheMisses	0
11	Consumer1	CacheHits	0
11	Consumer1	CacheMisses	0
11	Node1	CacheHits	0
